time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448650000	19.8555	14.9671	4.85706	1.89926	0.552157	radar	3.45688	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8222	15.1895	4.83851	1.90962	0.53516	lidar	2.18538	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6875	15.4007	4.83635	1.98841	0.641925	radar	7.79967	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6517	15.5998	4.795	1.99854	0.621462	lidar	3.93369	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5547	15.8099	4.78617	2.02503	0.612115	radar	1.45836	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4523	16.0202	4.78106	2.0539	0.610633	lidar	0.0346611	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3489	16.2316	4.77675	2.0685	0.574811	radar	1.92262	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.237	16.4121	4.74672	2.09905	0.578794	lidar	1.04666	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1161	16.6122	4.74315	2.12879	0.58132	radar	0.322204	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9899	16.8155	4.74619	2.15646	0.579648	lidar	0.0371282	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8327	17.0062	4.75705	2.21619	0.647326	radar	6.28707	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6694	17.2261	4.79735	2.24868	0.644755	lidar	1.49675	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5644	17.4345	4.78527	2.23136	0.54513	radar	6.25457	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3584	17.6158	4.81207	2.27744	0.563047	lidar	3.75272	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2215	17.8083	4.80572	2.27959	0.508503	radar	2.38703	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0888	17.9956	4.79633	2.29576	0.499439	lidar	0.913907	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9116	18.1517	4.78958	2.33984	0.536017	radar	2.02567	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
